country,province,country,designation,points,price,province,region_1,region_2,variety,winery,last_year_points
Albania,Mirditë,Albania,,88.0,20.0,Mirditë,,,Kallmet,Arbëri,82
Argentina,Mendoza Province,Argentina,Nicasia Vineyard,97.0,120.0,Mendoza Province,Mendoza,,Malbec,Bodega Catena Zapata,92
Argentina,Other,Argentina,Reserva,95.0,90.0,Other,Salta,,Malbec,Colomé,92
Australia,Australia Other,Australia,Yattarna,92.0,65.0,Australia Other,South Eastern Australia,,Chardonnay,Penfolds,93
Australia,New South Wales,Australia,Noble One Botrytis,93.0,32.0,New South Wales,New South Wales,,Sémillon,De Bortoli,98
Australia,Queensland,Australia,,85.0,13.0,Queensland,Granite Belt,,Semillon-Sauvignon Blanc,Ballandean,97
Australia,South Australia,Australia,The Factor,98.0,125.0,South Australia,Barossa Valley,,Shiraz,Torbreck,93
Australia,Tasmania,Australia,Coal River Valley Single Site,90.0,65.0,Tasmania,Tasmania,,Pinot Noir,Dalrymple,97
Australia,Victoria,Australia,Rare,100.0,300.0,Victoria,Rutherglen,,Muscat,Chambers Rosewood Vineyards,100
Australia,Western Australia,Australia,,95.0,84.0,Western Australia,Margaret River,,Cabernet Sauvignon,Moss Wood,86
Austria,Austria,Austria,Brut,91.0,46.0,Austria,,,White Blend,Bründlmayer,87
Austria,Burgenland,Austria,Zwischen den Steen Nummer 8 Trockenbeerenauslese,98.0,103.0,Burgenland,,,Welschriesling,Kracher,86
Austria,Carnuntum,Austria,,93.0,25.0,Carnuntum,,,Blaufränkisch,Muhr-Van der Niepoort,86
Austria,Donauland,Austria,Hohenberg,92.0,23.0,Donauland,,,Grüner Veltliner,Josef Ehmoser,96
Austria,Eisenberg,Austria,Schiefer,92.0,24.0,Eisenberg,,,Blaufränkisch,Uwe Schiefer,96
Austria,Kamptal,Austria,Heiligenstein Alte Reben Reserve,96.0,51.0,Kamptal,,,Riesling,Bründlmayer,82
Austria,Kremstal,Austria,Alte Reben Berglagen,95.0,35.0,Kremstal,,,Grüner Veltliner,Salomon-Undhof,88
Austria,Langenlois,Austria,,84.0,17.0,Langenlois,,,Riesling,Loimer,89
Austria,Leithaberg,Austria,,93.0,45.0,Leithaberg,,,Blaufränkisch,Gernot and Heike Heinrich,98
Austria,Mittelburgenland,Austria,Veratina Cuvée,93.0,,Mittelburgenland,,,Blaufränkisch,Weninger,88
Austria,Neusiedlersee,Austria,Kracher No. 12,94.0,110.0,Neusiedlersee,,,White Blend,Kracher,89
Austria,Neusiedlersee-Hügelland,Austria,Ruster Ausbruch Essenz,96.0,58.0,Neusiedlersee-Hügelland,,,White Blend,Feiler-Artinger,98
Austria,Niederösterreich,Austria,Schneiderberg Eiswein,95.0,70.0,Niederösterreich,,,Riesling,Weinrieder,92
Austria,South Styria,Austria,Pössnitzberg,88.0,35.0,South Styria,,,Sauvignon Blanc,Erwin Sabathi,93
Austria,Steiermark,Austria,Classic,90.0,21.0,Steiermark,,,Chardonnay,Strauss,80
Austria,Styria,Austria,Klassik,89.0,16.0,Styria,,,Sauvignon Blanc,Jaunegg,95
Austria,Südoststeiermark,Austria,Saziani Essenz Trockenbeerenauslese,94.0,,Südoststeiermark,,,Austrian white blend,Neumeister,80
Austria,Südsteiermark,Austria,Kranachberg,93.0,45.0,Südsteiermark,,,Sauvignon Blanc,Sattlerhof,84
Austria,Thermenregion,Austria,,93.0,21.0,Thermenregion,,,St. Laurent,Johanneshof Reinisch,95
Austria,Traisental,Austria,Berg Reserve,93.0,48.0,Traisental,,,Grüner Veltliner,Markus Huber,99
Austria,Vienna,Austria,Nussberg Alte Reben Gemischter Satz,93.0,40.0,Vienna,,,Austrian white blend,Wieninger,87
Austria,Wachau,Austria,Dürnsteiner Liebenberg Smaragd,96.0,,Wachau,,,Grüner Veltliner,F X Pichler,81
Austria,Wagram,Austria,Ried Spiegel,92.0,17.0,Wagram,,,Grüner Veltliner,Josef Bauer,80
Austria,Wagram-Donauland,Austria,Aurum,92.0,41.0,Wagram-Donauland,,,Grüner Veltliner,Josef Ehmoser,80
Austria,Weinland Österreich,Austria,Beck Ink,91.0,,Weinland Österreich,,,Austrian Red Blend,Judith Beck,88
Austria,Weinviertel,Austria,Rabenstein,92.0,29.0,Weinviertel,,,Grüner Veltliner,Dürnberg,81
Austria,Wiener Gemischter Satz,Austria,,91.0,,Wiener Gemischter Satz,,,White Blend,Stift Klosterneuburg,97
Austria,Österreichischer Sekt,Austria,Brut,90.0,44.0,Österreichischer Sekt,,,Sparkling Blend,Bründlmayer,97
Bosnia and Herzegovina,Mostar,Bosnia and Herzegovina,,88.0,12.0,Mostar,,,Blatina,Winery Čitluk,93
Brazil,Brazil,Brazil,Castas Portuguesas Quinta do Seival,84.0,29.0,Brazil,,,Red Blend,Vinícola Miolo,85
Brazil,Santa Catarina,Brazil,Innominabile Lote IV,86.0,35.0,Santa Catarina,,,Bordeaux-style Red Blend,Villaggio Grando,87
Brazil,Serra Gaúcha,Brazil,Agnus,88.0,15.0,Serra Gaúcha,,,Merlot,Lidio Carraro,95
Brazil,Serra do Sudeste,Brazil,Agnus Encruzilhada do Sul,82.0,15.0,Serra do Sudeste,,,Merlot,Lidio Carraro,83
Brazil,Vale Trentino,Brazil,,82.0,15.0,Vale Trentino,,,Tannat,Casa Perini,88
Brazil,Vale dos Vinhedos,Brazil,Lote 43,85.0,35.0,Vale dos Vinhedos,,,Cabernet Sauvignon-Merlot,Vinícola Miolo,82
Bulgaria,Black Sea Coastal,Bulgaria,Premium Quality Dry,86.0,10.0,Black Sea Coastal,,,Muskat Ottonel,Targovishte,91
Bulgaria,Bulgaria,Bulgaria,Bergulé,90.0,15.0,Bulgaria,,,Mavrud,Villa Melnik,94
Bulgaria,Danube River Plains,Bulgaria,,90.0,14.0,Danube River Plains,,,Chardonnay,Chateau Burgozone,89
Bulgaria,Rose Valley,Bulgaria,Leva Chardonnay-Dimiat-Muscat,84.0,8.0,Rose Valley,,,White Blend,Vinex Slavyantsi,85
Bulgaria,Sliven,Bulgaria,,86.0,7.0,Sliven,,,Meritage,Vini,87
Bulgaria,Targovishte,Bulgaria,,85.0,8.0,Targovishte,,,Muscat,Balkan Hills,87
Bulgaria,Thracian Valley,Bulgaria,Elenovo Nova Zagora,90.0,26.0,Thracian Valley,,,Mavrud,Edoardo Miroglio,94
Canada,British Columbia,Canada,Block 2 Platinum,93.0,45.0,British Columbia,Okanagan Valley,,Pinot Noir,CedarCreek,90
Canada,Ontario,Canada,Cave Spring Vineyard Estate Bottled VQA,92.0,17.0,Ontario,Beamsville Bench,,Riesling,Cave Spring,97
Chile,Aconcagua Costa,Chile,,90.0,22.0,Aconcagua Costa,,,Sauvignon Blanc,Errazuriz,89
Chile,Aconcagua Valley,Chile,Don Maximiano Founder's Reserva,93.0,90.0,Aconcagua Valley,,,Red Blend,Errazuriz,98
Chile,Apalta,Chile,Pehuén,91.0,70.0,Apalta,,,Carmenère,Santa Rita,87
Chile,Buin,Chile,Marques de Casa Concha,90.0,22.0,Buin,,,Syrah,Concha y Toro,97
Chile,Bío Bío Valley,Chile,Quinel Vineyard,90.0,17.0,Bío Bío Valley,,,Chardonnay,Veranda,85
Chile,Cachapoal Valley,Chile,,93.0,140.0,Cachapoal Valley,,,Red Blend,Vik,85
Chile,Casablanca & Leyda Valleys,Chile,Gran Reserva El Refugio Vineyard,85.0,15.0,Casablanca & Leyda Valleys,,,Chardonnay,Carmen,89
Chile,Casablanca Valley,Chile,Herú,91.0,45.0,Casablanca Valley,,,Pinot Noir,Ventisquero,90
Chile,Casablanca-Curicó Valley,Chile,Classic Series,87.0,12.0,Casablanca-Curicó Valley,,,Sauvignon Blanc,Montes,81
Chile,Cauquenes Valley,Chile,Orzada,90.0,20.0,Cauquenes Valley,,,Carignan,Odfjell,95
Chile,Central Valley,Chile,,91.0,27.0,Central Valley,,,Red Blend,Hereu,87
Chile,Chile,Chile,Borobo,92.0,80.0,Chile,,,Red Blend,Lapostolle,84
Chile,Choapa Valley,Chile,Legado Reserva,89.0,15.0,Choapa Valley,,,Syrah,De Martino,86
Chile,Colchagua Costa,Chile,Koyle Costa,89.0,22.0,Colchagua Costa,,,Sauvignon Blanc,Koyle,92
Chile,Colchagua Valley,Chile,Clos Apalta,95.0,90.0,Colchagua Valley,,,Red Blend,Lapostolle,96
Chile,Curicó Valley,Chile,Manso de Velasco Viñas Viejas,93.0,65.0,Curicó Valley,,,Cabernet Sauvignon,Miguel Torres,93
Chile,Curicó and Leyda Valleys,Chile,Aliwen Reserva,88.0,12.0,Curicó and Leyda Valleys,,,Sauvignon Blanc,Undurraga,98
Chile,Curicó and Maipo Valleys,Chile,Cordillera Brut,86.0,23.0,Curicó and Maipo Valleys,,,Pinot Noir,Miguel Torres,88
Chile,Elqui Valley,Chile,Kankana del Elqui,91.0,44.0,Elqui Valley,,,Syrah,San Pedro,95
Chile,Itata Valley,Chile,Artemisa Late Harvest,84.0,15.0,Itata Valley,,,Muscat d'Alexandrie,Viña el Aromo,83
Chile,Leyda Valley,Chile,Marea,90.0,25.0,Leyda Valley,,,Pinot Noir,Luis Felipe Edwards,83
Chile,Limarí Valley,Chile,Reserva Especial,92.0,20.0,Limarí Valley,,,Syrah,Maycas del Limari,86
Chile,Lolol Valley,Chile,Hacienda Araucano Clos de Lolol,90.0,20.0,Lolol Valley,,,Red Blend,François Lurton,86
Chile,Loncomilla Valley,Chile,Hacedor de Mundos Old Vines,91.0,45.0,Loncomilla Valley,,,Carignan,Gillmore,95
Chile,Lontué Valley,Chile,,90.0,75.0,Lontué Valley,,,Malbec,Odfjell,97
Chile,Maipo Valley,Chile,,93.0,60.0,Maipo Valley,,,Cabernet Sauvignon,Domus Aurea,81
Chile,Maipo Valley-Colchagua Valley,Chile,Aliwen Reserva,90.0,13.0,Maipo Valley-Colchagua Valley,,,Cabernet Sauvignon,Undurraga,99
Chile,Malleco,Chile,Sol de Sol,88.0,30.0,Malleco,,,Chardonnay,Viña Aquitania,92
Chile,Marchigue,Chile,Block g+i,93.0,40.0,Marchigue,,,Syrah,Polkura,92
Chile,Maule Valley,Chile,Lukai,92.0,70.0,Maule Valley,,,Red Blend,Viña San Vicente,81
Chile,Molina,Chile,Family Reserve,90.0,29.0,Molina,,,Cabernet Sauvignon,Echeverria,84
Chile,Peumo,Chile,Herencia,93.0,90.0,Peumo,,,Carmenère,Santa Carolina,87
Chile,Pirque,Chile,Terrunyo Old Pirque Vineyard Block: Las Terrazas,93.0,41.0,Pirque,,,Cabernet Sauvignon,Concha y Toro,83
Chile,Puente Alto,Chile,Don Melchor,94.0,80.0,Puente Alto,,,Cabernet Sauvignon,Concha y Toro,89
