country,province,sum,max
Albania,Mirditë,176.0,88.0
Argentina,Mendoza Province,359396.0,97.0
Argentina,Other,68293.0,95.0
Australia,Australia Other,43093.0,92.0
Australia,New South Wales,18523.0,93.0
Australia,Queensland,255.0,85.0
Australia,South Australia,240862.0,98.0
Australia,Tasmania,4033.0,90.0
Australia,Victoria,49650.0,100.0
Australia,Western Australia,38598.0,95.0
Austria,Austria,1478.0,91.0
Austria,Burgenland,67084.0,98.0
Austria,Carnuntum,5898.0,93.0
Austria,Donauland,1945.0,92.0
Austria,Eisenberg,274.0,92.0
Austria,Kamptal,29122.0,96.0
Austria,Kremstal,27793.0,95.0
Austria,Langenlois,84.0,84.0
Austria,Leithaberg,545.0,93.0
Austria,Mittelburgenland,3929.0,93.0
Austria,Neusiedlersee,2990.0,94.0
Austria,Neusiedlersee-Hügelland,3090.0,96.0
Austria,Niederösterreich,39075.0,95.0
Austria,South Styria,175.0,88.0
Austria,Steiermark,534.0,90.0
Austria,Styria,1037.0,89.0
Austria,Südoststeiermark,5001.0,94.0
Austria,Südsteiermark,5682.0,93.0
Austria,Thermenregion,10400.0,93.0
Austria,Traisental,2090.0,93.0
Austria,Vienna,4362.0,93.0
Austria,Wachau,34118.0,96.0
Austria,Wagram,1341.0,92.0
Austria,Wagram-Donauland,6673.0,92.0
Austria,Weinland Österreich,879.0,91.0
Austria,Weinviertel,4061.0,92.0
Austria,Wiener Gemischter Satz,451.0,91.0
Austria,Österreichischer Sekt,1729.0,90.0
Bosnia and Herzegovina,Mostar,339.0,88.0
Brazil,Brazil,332.0,84.0
Brazil,Santa Catarina,169.0,86.0
Brazil,Serra Gaúcha,337.0,88.0
Brazil,Serra do Sudeste,82.0,82.0
Brazil,Vale Trentino,82.0,82.0
Brazil,Vale dos Vinhedos,911.0,85.0
Bulgaria,Black Sea Coastal,253.0,86.0
Bulgaria,Bulgaria,1351.0,90.0
Bulgaria,Danube River Plains,265.0,90.0
Bulgaria,Rose Valley,84.0,84.0
Bulgaria,Sliven,342.0,86.0
Bulgaria,Targovishte,170.0,85.0
Bulgaria,Thracian Valley,3778.0,90.0
Canada,British Columbia,8190.0,93.0
Canada,Ontario,8030.0,92.0
Chile,Aconcagua Costa,446.0,90.0
Chile,Aconcagua Valley,14143.0,93.0
Chile,Apalta,1158.0,91.0
Chile,Buin,358.0,90.0
Chile,Bío Bío Valley,4800.0,90.0
Chile,Cachapoal Valley,18112.0,93.0
Chile,Casablanca & Leyda Valleys,85.0,85.0
Chile,Casablanca Valley,60634.0,91.0
Chile,Casablanca-Curicó Valley,87.0,87.0
Chile,Cauquenes Valley,179.0,90.0
Chile,Central Valley,41732.0,91.0
Chile,Chile,1971.0,92.0
Chile,Choapa Valley,350.0,89.0
Chile,Colchagua Costa,89.0,89.0
Chile,Colchagua Valley,94277.0,95.0
Chile,Curicó Valley,25443.0,93.0
Chile,Curicó and Leyda Valleys,262.0,88.0
Chile,Curicó and Maipo Valleys,172.0,86.0
Chile,Elqui Valley,4133.0,91.0
Chile,Itata Valley,164.0,84.0
Chile,Leyda Valley,12805.0,90.0
Chile,Limarí Valley,15600.0,92.0
